Filename,Date Digitized ,QA complete,OCR complete,Bib ID,Call number,Prefix,Classification,Brief Title,Full Title,Repository
ksrl_sc_griffith_h24_0001,2015-04-14,2015-04-15,2015-05-01,7828470,Griffith H24,Griffith,H24,"Se{tilde}nor licenciado don Manuel Estrada Cabrera, benem{acute}erito de la patria y presidente de la rep{acute}ublica /","Se{tilde}nor licenciado don Manuel Estrada Cabrera, benem{acute}erito de la patria y presidente de la rep{acute}ublica /$c[signed] Felipe Estrada Paniagua... [et al].",Special Collections
ksrl_sc_griffith_h27_0001||ksrl_sc_griffith_h27_0002,2015-04-14,2015-04-20,2015-05-01,7828473,Griffith H27,Griffith,H27,"Don Rafael Carrera, capit{acute}an jeneral de ej{acute}ercito, presidente de la rep{acute}ublica, superintendente jeneral de hacienda...","Don Rafael Carrera, capit{acute}an jeneral de ej{acute}ercito, presidente de la rep{acute}ublica, superintendente jeneral de hacienda...",Special Collections
ksrl_sc_griffith_h30_0001,2015-04-14,2015-04-15,2015-05-01,7828476,Griffith H30,Griffith,H30,Se{tilde}nor general presidente D. Manuel L. Barillas... /,Se{tilde}nor general presidente D. Manuel L. Barillas... /$c[signed] Pablo Guarlaj... [et al.].,Special Collections
ksrl_sc_griffith_h32_0001,2015-04-14,2015-04-15,2015-05-01,7828478,Griffith H32,Griffith,H32,"Al excelent{acute}isimo se{tilde}nor doctor don Manuel Estrada Cabrera, benem{acute}erito de la patria, presidente constitucional de la rep{acute}ublica /","Al excelent{acute}isimo se{tilde}nor doctor don Manuel Estrada Cabrera, benem{acute}erito de la patria, presidente constitucional de la rep{acute}ublica /$c[signed] Jos{acute}e G. Marroqu{acute}in.",Special Collections
ksrl_sc_griffith_h33_0001,2015-04-14,2015-04-15,2015-05-01,7828479,Griffith H33,Griffith,H33,"Se{tilde}nor licenciado don Manuel Estrada Cabrera, Guatemala /","Se{tilde}nor licenciado don Manuel Estrada Cabrera, Guatemala /$cClub Liberal Totonicapense... [et al.].",Special Collections
ksrl_sc_griffith_h34_0001,2015-04-14,2015-04-15,2015-05-01,7828480,Griffith H34,Griffith,H34,Carta abierta :,"Carta abierta :$bse{tilde}nora do{tilde}na Carlota M. de Valladares y do{tilde}na Concha V. de Micheo, presentes /$cCarlos M{acute}arquez.",Special Collections
ksrl_sc_griffith_h36_0001,2015-04-14,2015-04-15,2015-05-01,6022683,Griffith H36,Griffith,H36,"Lost empleados de hacienda del departamento de Amatitl{acute}an, tienen el honor de saludar con respetuoso cari{tilde}no al se{tilde}nor licenciado don Manuel Estrada Cabrera... /","Lost empleados de hacienda del departamento de Amatitl{acute}an, tienen el honor de saludar con respetuoso cari{tilde}no al se{tilde}nor licenciado don Manuel Estrada Cabrera... /$c[signed] Juan R. Z{acute}u{tilde}niga... [et al.].",Special Collections
ksrl_sc_griffith_h37_0001||ksrl_sc_griffith_h37_0002,2015-04-14,2015-04-20,2015-05-01,6022681,Griffith H37,Griffith,H37,El quinto poder /,El quinto poder /$c[signed] J.B.E.,Special Collections
ksrl_sc_griffith_h38_0001,2015-04-14,2015-04-15,2015-05-01,6023674,Griffith H38,Griffith,H38,Importante :,"Importante :$bla comandancia de armas del departamento, en el deber de dar {acute}a las milicias de la jurisdicci{acute}on... /$c[signed] Enrique Haeussler, A. de Le{acute}on.",Special Collections
ksrl_sc_griffith_h39_0001,2015-04-14,2015-04-15,2015-05-01,6023691,Griffith H39,Griffith,H39,"Acta de inauguraci{acute}on del Club ""La Juventud Liberal Jumaytepeque"" /","Acta de inauguraci{acute}on del Club ""La Juventud Liberal Jumaytepeque"" /$c[signed] Santos Gonz{acute}alez... [et al.].",Special Collections
